name,classification,GBS-A_Feb2024,GBS-A_Jun2024,GBS-A_Mar2013,GBS-B_Feb2024,GBS-B_Jun2024,GBS-C_Feb2024,GBS-C_Jun2024,GBS-C_Mar2013,GBS-E_Mar2013,GBS-W_Jun2024,Abundance
GBS-W_Jun24_bin.014,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__,126.6,2.2,0.1,8,0.7,2.4,0.2,0,0,2.4,142.6
Nitrosocaldus gerlachensis,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__JBBIQH01;s__,1,159,163.5,1.9,0,135.2,431.8,14.5,21.1,2.3,930.4
Thermus sediminis,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus sediminis,0,0.9,0.6,0,0,0.8,1.9,0,1.3,2.3,7.8
Tepidiforma thermophila,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Tepidiformales;f__Tepidiformaceae;g__Tepidiforma;s__Tepidiforma thermophila,0,0,0,0,0,0,0,0,4.2,2.3,6.5
Thermus sp947085095,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus sp947085095,0,1,0.6,0,0,0.8,2.2,0,1.6,2.2,8.6
GBS-W_Jun24_bin.055,d__Bacteria;p__Bacillota;c__Thermaerobacteria;o__Thermaerobacterales;f__;g__;s__,0.1,0,0,0,0,0.1,0,0,0,2.1,2.3
GBS-C_Jun24_bin.054,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Thermostichales;f__Thermostichaceae;g__Thermostichus;s__,0,0,0.1,0,0,1.8,6.7,0,104.2,2,114.9
GBS-W_Jun24_bin.009,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Thermostichales;f__Thermostichaceae;g__Thermostichus;s__,0,0,0,0,0,0.1,0.2,0,30.9,2,33.3
GBS-A_Feb24_bin.024,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__,5.1,1.1,0,1.5,1.4,0.3,0.3,0.9,0,1.9,12.4
DSZV01 sp020833325,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__DSZV01;s__DSZV01 sp020833325,3,3.6,0,4.4,4.1,1.5,1,2.6,0,1.9,22
GBS-W_Jun24_bin.035,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__AG1;g__WYEN01;s__,14.9,1.9,0,3.6,0.6,0.1,0,0.2,0,1.8,23.3
Thermus thermophilus,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus thermophilus,0,6.1,0.2,0.2,0,1,4.6,0.1,0.3,1.8,14.4
GBS-W_Jun24_bin.008,d__Bacteria;p__Bacillota;c__Symbiobacteriia;o__Symbiobacteriales;f__ZC4RG38;g__;s__,0.1,0,0.1,0,0,0.1,0.2,0.1,0,1.8,2.4
GBS-W_Jun24_bin.018,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__NBVN01;g__DRZP01;s__,5.9,1,0,5.3,0.2,0.3,0,0,0,1.8,14.5
GBS-W_Jun24_bin.036,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Neoroseomonas;s__,0,0,0,0,0,0.1,0,0,0,1.6,1.8
Chloroflexus sp000516515,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Chloroflexus;s__Chloroflexus sp000516515,0,0,0,0,0,0.2,0.3,0,65,1.4,67
Calditenuis sp000494145,d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__Calditenuaceae;g__Calditenuis;s__Calditenuis sp000494145,348.6,1112.3,83.7,900.6,958.6,380.4,908.7,1102.6,1.2,1.4,5798.1
